"('34 ST-HERALD SQ', 75462.0)"
"('63 DR-REGO PARK', 5686.5)"
"('GRAND-NEWTOWN', 5671.0)"
"('HOYT-SCHER', 5586.0)"
"('90 ST-ELMHURST', 5563.0)"
"('72 ST', 5544.5)"
"('ASTORIA BLVD', 5444.0)"
"('96 ST', 5392.0)"
"('175 ST', 5313.0)"
"('33 ST-RAWSON ST', 5298.0)"
"('QUEENSBORO PLZ', 5285.0)"
"('110 ST', 5173.0)"
"('40 ST LOWERY ST', 5169.0)"
"('111 ST', 5096.0)"
"('HIGH ST', 5089.0)"
"('ST. GEORGE', 5044.0)"
"('149/GRAND CONC', 4911.0)"
"('18 ST', 4785.0)"
"('GREENPOINT AV', 4740.0)"
"('135 ST', 4606.5)"
"('PROSPECT PARK', 4506.0)"
"('169 ST', 4407.0)"
"('HOYT ST', 4364.0)"
"('CENTRAL PK N110', 4351.0)"
"('191 ST', 4344.0)"
"('BROADWAY JCT', 4330.0)"
"('4AV-9 ST', 4308.0)"
"('21 ST-QNSBRIDGE', 4305.0)"
"('GRAHAM AV', 4121.0)"
"('3 AV', 4089.0)"
"('CARROLL ST', 4057.0)"
"('OZONE PK LEFFRT', 4019.0)"
"('NASSAU AV', 3873.0)"
"('CITY HALL', 3778.0)"
"('NASSAU ST', 3774.0)"
"('170 ST', 3760.0)"
"('FRANKLIN AV', 3684.5)"
"('ROOSEVELT ISLND', 3622.0)"
"('BURNSIDE AV', 3588.0)"
"('18 AV', 3581.0)"
"('CASTLE HILL AV', 3410.5)"
"('UNION ST', 3218.0)"
"('36 AV', 3197.0)"
"('HALSEY ST', 3120.0)"
"('COURT SQ-23 ST', 3111.0)"
"('BEDFORD-NOSTRAN', 3106.0)"
"('52 ST', 3042.0)"
"('67 AV', 3036.0)"
"('PARSONS BLVD', 3036.0)"
"('WESTCHESTER SQ', 2997.0)"
"('ELMHURST AV', 2975.0)"
"('4 AV-9 ST', 2919.0)"
"('CHRISTOPHER ST', 2884.0)"
"('SARATOGA AV', 2875.0)"
"('NEW LOTS AV', 2864.0)"
"('GRANT AV', 2772.0)"
"('SUTTER AV-RUTLD', 2761.0)"
"('PELHAM BAY PARK', 2715.0)"
"('MORISN AV/SNDVW', 2707.0)"
"('ROCKAWAY AV', 2687.0)"
"('EASTN PKWY-MUSM', 2681.0)"
"('FAR ROCKAWAY', 2681.0)"
"('SMITH-9 ST', 2681.0)"
"('MORGAN AV', 2671.0)"
"('MONTROSE AV', 2666.0)"
"('CLASSON AV', 2650.0)"
"('CLARK ST', 2637.0)"
"('KINGSTON-THROOP', 2617.0)"
"('PROSPECT AV', 2606.0)"
"('74 ST-BROADWAY', 2602.0)"
"('CLINTON-WASH AV', 2600.0)"
"('DYCKMAN ST', 2575.0)"
"('BAY RIDGE AV', 2540.0)"
"('GRAND ARMY PLAZ', 2537.5)"
"('53 ST', 2486.5)"
"('FULTON ST', 2464.0)"
"('V.CORTLANDT PK', 2457.0)"
"('BAY RIDGE-95 ST', 2366.0)"
"('231 ST', 2331.0)"
"('JEFFERSON ST', 2309.0)"
"('207 ST', 2303.0)"
"('PARK PLACE', 2243.0)"
"('EUCLID AV', 2238.0)"
"('STERLING ST', 2214.0)"
"('MT EDEN AV', 2156.0)"
"('BOWERY', 2133.0)"
"('KINGSTON AV', 2098.0)"
"('81 ST-MUSEUM', 2096.0)"
"('PRESIDENT ST', 2085.0)"
"('AVENUE J', 2080.0)"
"('15 ST-PROSPECT', 2073.0)"
"('BEDFORD PK BLVD', 2015.0)"
"('176 ST', 2005.0)"
"('WILSON AV', 1990.0)"
"('183 ST', 1983.5)"
"('WOODLAWN', 1911.5)"
"('8 AV', 1905.5)"
"('45 ST', 1864.0)"
"('ST LAWRENCE AV', 1829.0)"
"('BERGEN ST', 1813.0)"
"('25 ST', 1766.0)"
"('HARLEM 148 ST', 1737.0)"
"('77 ST', 1732.0)"
"('174-175 STS', 1719.0)"
"('VAN SICLEN AV', 1684.0)"
"('WOODHAVEN BLVD', 1648.0)"
"('AVENUE M', 1647.5)"
"('BRIARWOOD', 1603.0)"
"('MARBLE HILL-225', 1569.0)"
"('BEVERLEY ROAD', 1556.0)"
"('W 8 ST-AQUARIUM', 1535.0)"
"('CORTELYOU RD', 1519.0)"
"('138/GRAND CONC', 1516.0)"
"('71 ST', 1496.5)"
"('39 AV', 1486.5)"
"('79 ST', 1459.0)"
"('CANARSIE-ROCKAW', 1419.0)"
"('PENNSYLVANIA AV', 1417.0)"
"('20 AV', 1386.0)"
"('190 ST', 1360.0)"
"('METROPOLITAN AV', 1353.0)"
"('AVENUE H', 1291.5)"
"('75 ST-ELDERTS', 1251.0)"
"('OCEAN PKWY', 1235.0)"
"('182-183 STS', 1218.0)"
"('85 ST-FOREST PK', 1208.5)"
"('NECK RD', 1199.0)"
"('BEACH 67 ST', 1155.0)"
"('GUN HILL RD', 1151.0)"
"('BEACH 25 ST', 967.0)"
"('BEACH 60 ST', 964.0)"
"('WHITLOCK AV', 919.0)"
"('AVENUE X', 896.0)"
"('6 AV', 835.0)"
"('BEVERLY RD', 813.0)"
"('BUSHWICK AV', 808.0)"
"('55 ST', 802.0)"
"('AQUEDUCT RACETR', 768.0)"
"('PAVONIA/NEWPORT', 767.0)"
"('215 ST', 716.5)"
"('104 ST', 676.0)"
"('JUNIUS ST', 648.0)"
"('9TH STREET', 594.5)"
"('75 AV', 592.0)"
"('ATLANTIC AV', 583.0)"
"('CYPRESS HILLS', 531.0)"
"('BEACH 36 ST', 521.0)"
"('THIRTY THIRD ST', 508.0)"
"('GROVE STREET', 480.0)"
"('AVENUE P', 473.0)"
"('PATH WTC', 437.5)"
"('121 ST', 425.0)"
"('PATH WTC 2', 364.5)"
"('BEACH 44 ST', 354.0)"
"('PATH NEW WTC', 337.0)"
"('NEWARK HM HE', 330.0)"
"('JOURNAL SQUARE', 271.0)"
"('EXCHANGE PLACE', 199.5)"
"('14TH STREET', 199.0)"
"('LACKAWANNA', 181.0)"
"('CITY / BUS', 164.0)"
"('TWENTY THIRD ST', 136.0)"
"('225 ST', 118.0)"
"('NEWARK BM BW', 116.0)"
"('36 ST', 91.0)"
"('THIRTY ST', 67.0)"
"('HARRISON', 61.5)"
"('JFK JAMAICA CT1', 19.0)"
"('AVENUE I', 13.5)"
"('NEWARK HW BMEBE', 13.0)"
"('PARKCHESTER', 12.0)"
"('137 ST CITY COL', 11.0)"
"('HUNTS POINT AV', 10.0)"
"('NEWARK C', 9.0)"
"('ORCHARD BEACH', 8.0)"
"('NORWOOD AV', 3.0)"
"('80 ST', 1.0)"
